,date,time,date_time,locations,outLat,outlong,inLat,InLong,area_NameLable,inner_zone_id,Setl_Name,Muni_Name,random_points
1688,2023-10-11,09:08:00,2023-10-11 09:08:00,Ivim,40.7220332494032,-73.88930879356815,40.709594443449916,-74.06013603115134,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1689,2023-10-11,09:08:00,2023-10-11 09:08:00,Nir Am,40.7063287894032,-73.91854762356814,40.709594443449916,-74.06013603115134,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1690,2023-10-11,10:41:00,2023-10-11 10:41:00,Netiv HaAssara,40.7602767894032,-73.95976962356815,40.60221133829853,-74.13402246327017,נתיב העשרה,1227,נתיב העשרה,,
1691,2023-10-11,11:27:00,2023-10-11 11:27:00,Or HaNer,40.7449376694032,-73.89749886356815,40.52550062714019,-74.2130113262028,אור הנר,409,אור הנר,שער הנגב,
1692,2023-10-11,11:27:00,2023-10-11 11:27:00,Nir Am,40.7063287894032,-73.91854762356814,40.52550062714019,-74.2130113262028,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1693,2023-10-11,11:27:00,2023-10-11 11:27:00,Erez,40.7477097894032,-73.93420262356815,40.52550062714019,-74.2130113262028,ארז,293,ארז,שער הנגב,
1694,2023-10-11,11:27:00,2023-10-11 11:27:00,Sderot,40.7105637894032,-73.90351062356814,40.52550062714019,-74.2130113262028,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1695,2023-10-11,11:27:00,2023-10-11 11:27:00,Ivim,40.7220332494032,-73.88930879356815,40.52550062714019,-74.2130113262028,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1696,2023-10-11,11:28:00,2023-10-11 11:28:00,Sapir College,40.6969340894032,-73.90465252356815,40.63812923452238,-74.11503207816389,"גבים, מכללת ספיר",724,"גבים, מכללת ספיר",שער הנגב,
1697,2023-10-11,11:28:00,2023-10-11 11:28:00,Gavim,40.6941427894032,-73.90014262356814,40.63812923452238,-74.11503207816389,"גבים, מכללת ספיר",724,"גבים, מכללת ספיר",שער הנגב,
1698,2023-10-11,12:01:00,2023-10-11 12:01:00,Zohar,40.782255819403204,-73.80588480356815,40.52526277414822,-74.19154159091235,זוהר,268,זוהר,לכיש,
1699,2023-10-11,12:02:00,2023-10-11 12:02:00,Nir Chen,40.7972256594032,-73.78431310356814,40.55018803115427,-74.20338138635705,ניר ח''ן,454,ניר ח''ן,לכיש,
1700,2023-10-11,12:02:00,2023-10-11 12:02:00,Sdeh David,40.7645381794032,-73.81561247356815,40.55018803115427,-74.20338138635705,שדה דוד,529,שדה דוד,לכיש,
1701,2023-10-11,12:12:00,2023-10-11 12:12:00,Ashkelon - South,40.779044580132705,-73.95365285617805,40.5368861767017,-74.16267872083358,אשקלון - דרום,1314,אשקלון,אשקלון,"(-73.95365285617805, 40.779044580132705)"
1702,2023-10-11,12:12:00,2023-10-11 12:12:00,Ashkelon Southern Industrial Zone,40.865854172110716,-73.88915310483249,40.5368861767017,-74.16267872083358,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-73.88915310483249, 40.865854172110716)"
1703,2023-10-11,12:12:00,2023-10-11 12:12:00,Zikim,40.795073789403205,-73.97812362356814,40.5368861767017,-74.16267872083358,זיקים,311,זיקים,חוף אשקלון,
1704,2023-10-11,12:12:00,2023-10-11 12:12:00,Karmia,40.790564789403206,-73.95867862356815,40.5368861767017,-74.16267872083358,כרמיה,280,כרמיה,חוף אשקלון,
1705,2023-10-11,12:12:00,2023-10-11 12:12:00,Ashkelon - North,40.81802342902537,-73.97137335589818,40.5368861767017,-74.16267872083358,אשקלון - צפון,1278,אשקלון,אשקלון,"(-73.97137335589818, 40.81802342902537)"
1706,2023-10-11,12:47:00,2023-10-11 12:47:00,Netiv HaAssara,40.7602767894032,-73.95976962356815,40.72522233156036,-74.03123722846121,נתיב העשרה,1227,נתיב העשרה,,
1707,2023-10-11,12:47:00,2023-10-11 12:47:00,Erez,40.7477097894032,-73.93420262356815,40.72522233156036,-74.03123722846121,ארז,293,ארז,שער הנגב,
1708,2023-10-11,13:08:00,2023-10-11 13:08:00,Nir- Um shooting range,40.7063177894032,-73.91856232356815,40.71410467078729,-74.03951969538079,"שדרות, איבים, ניר עם",1302,"שדרות, איבים, ניר עם",שדרות,
1709,2023-10-11,13:21:00,2023-10-11 13:21:00,Ashkelon Southern Industrial Zone,40.8675479128167,-73.90633216247527,40.72762638990929,-74.05150322127096,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-73.90633216247527, 40.8675479128167)"
1710,2023-10-11,13:24:00,2023-10-11 13:24:00,Ashkelon Northern Industrial Zone,40.790247200620335,-73.89727820084431,40.60683406691974,-74.14394884715969,אזור תעשייה צפוני אשקלון,1027,אזור תעשייה צפוני אשקלון,אשקלון,"(-73.89727820084431, 40.790247200620335)"
1711,2023-10-11,13:24:00,2023-10-11 13:24:00,Ashkelon - North,40.8349296024818,-73.90477973454766,40.60683406691974,-74.14394884715969,אשקלון - צפון,1278,אשקלון,אשקלון,"(-73.90477973454766, 40.8349296024818)"
1712,2023-10-11,13:24:00,2023-10-11 13:24:00,Ashkelon - South,40.8768097333718,-73.91683367066958,40.60683406691974,-74.14394884715969,אשקלון - דרום,1314,אשקלון,אשקלון,"(-73.91683367066958, 40.8768097333718)"
1713,2023-10-11,13:24:00,2023-10-11 13:24:00,Zikim,40.795073789403205,-73.97812362356814,40.60683406691974,-74.14394884715969,זיקים,311,זיקים,חוף אשקלון,
1714,2023-10-11,13:27:00,2023-10-11 13:27:00,Netiv HaAssara,40.7602767894032,-73.95976962356815,40.60610579145918,-74.16663130808371,נתיב העשרה,1227,נתיב העשרה,,
1715,2023-10-11,13:27:00,2023-10-11 13:27:00,Be'er Ganim,40.888223689403205,-73.88815762356815,40.60610579145918,-74.16663130808371,באר גנים,851,באר גנים,חוף אשקלון,
1716,2023-10-11,13:27:00,2023-10-11 13:27:00,Karmia,40.790564789403206,-73.95867862356815,40.60610579145918,-74.16663130808371,כרמיה,280,כרמיה,חוף אשקלון,
1717,2023-10-11,13:27:00,2023-10-11 13:27:00,Ashkelon Southern Industrial Zone,40.70520165972697,-74.00394742600795,40.60610579145918,-74.16663130808371,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-74.00394742600795, 40.70520165972697)"
1718,2023-10-11,13:28:00,2023-10-11 13:28:00,Mishan,40.8436227294032,-73.87577754356815,40.722228656441075,-74.02869499620715,משען,975,משען,חוף אשקלון,
1719,2023-10-11,13:28:00,2023-10-11 13:28:00,Berekhya,40.8559167894032,-73.87479562356815,40.722228656441075,-74.02869499620715,ברכיה,1075,ברכיה,חוף אשקלון,
1720,2023-10-11,13:28:00,2023-10-11 13:28:00,Nitzanim,40.905714789403206,-73.86445562356815,40.722228656441075,-74.02869499620715,ניצנים,458,ניצנים,חוף אשקלון,
1721,2023-10-11,13:28:00,2023-10-11 13:28:00,Nitzan,40.9253877894032,-73.86828762356815,40.722228656441075,-74.02869499620715,ניצן,910,ניצן,חוף אשקלון,
1722,2023-10-11,13:28:00,2023-10-11 13:28:00,Kfar Silver,40.861503380159235,-73.88700678015081,40.722228656441075,-74.02869499620715,כפר סילבר,78,כפר סילבר,חוף אשקלון,
1723,2023-10-11,13:28:00,2023-10-11 13:28:00,Bat Hadar,40.8359947894032,-73.90194562356814,40.722228656441075,-74.02869499620715,בת הדר,400,בת הדר,חוף אשקלון,
1724,2023-10-11,13:28:00,2023-10-11 13:28:00,Mavki'im,40.8103877894032,-73.92166062356816,40.722228656441075,-74.02869499620715,מבקיעים,456,מבקיעים,חוף אשקלון,
1725,2023-10-11,13:28:00,2023-10-11 13:28:00,Beit Ezra,40.9242717894032,-73.84157762356816,40.722228656441075,-74.02869499620715,בית עזרא,1053,בית עזרא,באר טוביה,
1726,2023-10-11,13:28:00,2023-10-11 13:28:00,Beit Shikma,40.8256047894032,-73.88901762356815,40.722228656441075,-74.02869499620715,בית שקמה,948,בית שקמה,חוף אשקלון,
1727,2023-10-11,13:28:00,2023-10-11 13:28:00,Ge'a,40.8163367894032,-73.89641362356815,40.722228656441075,-74.02869499620715,גיאה,933,גיאה,חוף אשקלון,
1728,2023-10-11,13:28:00,2023-10-11 13:28:00,Nir Israel,40.880025789403206,-73.86102062356815,40.722228656441075,-74.02869499620715,ניר ישראל,1126,ניר ישראל,חוף אשקלון,
1729,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod,40.9696949894032,-73.85005195356814,40.525723134233544,-74.17101508667022,"אשדוד - ח,ט,י,יג,יד,טז",1231,אשדוד,אשדוד,
1730,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashkelon - South,40.79354508665423,-73.94640095216744,40.525723134233544,-74.17101508667022,אשקלון - דרום,1314,אשקלון,אשקלון,"(-73.94640095216744, 40.79354508665423)"
1731,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Tet Zain,40.960810709403205,-73.86977424356814,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1732,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod Zain,40.9558539894032,-73.87422116356815,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1733,2023-10-11,13:29:00,2023-10-11 13:29:00,Zikim,40.795073789403205,-73.97812362356814,40.525723134233544,-74.17101508667022,זיקים,311,זיקים,חוף אשקלון,
1734,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Ashkelon - North,40.9967881594032,-73.85448975356815,40.525723134233544,-74.17101508667022,"אשדוד - א,ב,ד,ה",1123,אשדוד,אשדוד,
1735,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Het,40.9751396994032,-73.84640877356816,40.525723134233544,-74.17101508667022,"אשדוד - ח,ט,י,יג,יד,טז",1231,אשדוד,אשדוד,
1736,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Tet,40.971656689403204,-73.83759799356815,40.525723134233544,-74.17101508667022,"אשדוד - ח,ט,י,יג,יד,טז",1231,אשדוד,אשדוד,
1737,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod Dalet,40.9922507894032,-73.84377762356814,40.525723134233544,-74.17101508667022,"אשדוד - א,ב,ד,ה",1123,אשדוד,אשדוד,
1738,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod Gimmel,40.9633706194032,-73.85500965356815,40.525723134233544,-74.17101508667022,"אשדוד - ח,ט,י,יג,יד,טז",1231,אשדוד,אשדוד,
1739,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashkelon Northern Industrial Zone,40.79085551586052,-73.89436034821713,40.525723134233544,-74.17101508667022,אזור תעשייה צפוני אשקלון,1027,אזור תעשייה צפוני אשקלון,אשקלון,"(-73.89436034821713, 40.79085551586052)"
1740,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Tet Vav,40.960810709403205,-73.86977424356814,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1741,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - City,40.9922507894032,-73.84377762356814,40.525723134233544,-74.17101508667022,"אשדוד - א,ב,ד,ה",1123,אשדוד,אשדוד,
1742,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Marina,40.9835839294032,-73.86704028356814,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1743,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod Alef,40.9712242694032,-73.86823507356814,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1744,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Ad Halom Industrial Zone,40.9699345894032,-73.82969102356815,40.525723134233544,-74.17101508667022,אזור תעשייה עד הלום,480,אזור תעשייה עד הלום,באר טוביה,
1745,2023-10-11,13:29:00,2023-10-11 13:29:00,Ashdod - Yod Bet,40.9671105094032,-73.86169486356815,40.525723134233544,-74.17101508667022,"אשדוד -יא,יב,טו,יז,מרינה,סיטי",1229,אשדוד,אשדוד,
1746,2023-10-11,13:34:00,2023-10-11 13:34:00,Zikim,40.795073789403205,-73.97812362356814,40.52952869133573,-74.17459038150102,זיקים,311,זיקים,חוף אשקלון,
1747,2023-10-11,13:34:00,2023-10-11 13:34:00,Ashkelon Southern Industrial Zone,40.721130270935745,-74.00677532188543,40.52952869133573,-74.17459038150102,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-74.00677532188543, 40.721130270935745)"
1748,2023-10-11,13:34:00,2023-10-11 13:34:00,Ashkelon - North,40.82395924424426,-73.91509993539319,40.52952869133573,-74.17459038150102,אשקלון - צפון,1278,אשקלון,אשקלון,"(-73.91509993539319, 40.82395924424426)"
1749,2023-10-11,13:34:00,2023-10-11 13:34:00,Be'er Ganim,40.888223689403205,-73.88815762356815,40.52952869133573,-74.17459038150102,באר גנים,851,באר גנים,חוף אשקלון,
1750,2023-10-11,13:34:00,2023-10-11 13:34:00,Ashkelon Northern Industrial Zone,40.82085273618549,-73.89185397527694,40.52952869133573,-74.17459038150102,אזור תעשייה צפוני אשקלון,1027,אזור תעשייה צפוני אשקלון,אשקלון,"(-73.89185397527694, 40.82085273618549)"
1751,2023-10-11,13:34:00,2023-10-11 13:34:00,Ashkelon - South,40.806405535133486,-73.96420494414295,40.52952869133573,-74.17459038150102,אשקלון - דרום,1314,אשקלון,אשקלון,"(-73.96420494414295, 40.806405535133486)"
1752,2023-10-11,13:36:00,2023-10-11 13:36:00,Netiv HaAssara,40.7602767894032,-73.95976962356815,40.60097703889105,-74.1502280709957,נתיב העשרה,1227,נתיב העשרה,,
1753,2023-10-11,13:36:00,2023-10-11 13:36:00,Karmia,40.790564789403206,-73.95867862356815,40.60097703889105,-74.1502280709957,כרמיה,280,כרמיה,חוף אשקלון,
1754,2023-10-11,13:43:00,2023-10-11 13:43:00,Ein HaShlosha,40.539591789403204,-74.09562062356815,40.54926754820207,-74.1885861336276,עין השלושה,606,עין השלושה,אשכול,
1755,2023-10-11,14:00:00,2023-10-11 14:00:00,Nachal Oz,40.660549789403206,-74.00141662356815,40.62762969400362,-74.09256521290806,נחל עוז,532,נחל עוז,שער הנגב,
1756,2023-10-11,14:08:00,2023-10-11 14:08:00,Ashkelon - South,40.766177764725,-73.9707950427171,40.63969256911013,-74.09734425021958,אשקלון - דרום,1314,אשקלון,אשקלון,"(-73.9707950427171, 40.766177764725)"
1757,2023-10-11,14:08:00,2023-10-11 14:08:00,Karmia,40.790564789403206,-73.95867862356815,40.63969256911013,-74.09734425021958,כרמיה,280,כרמיה,חוף אשקלון,
1758,2023-10-11,14:08:00,2023-10-11 14:08:00,Ashkelon Southern Industrial Zone,40.699092749754236,-74.00391288847479,40.63969256911013,-74.09734425021958,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-74.00391288847479, 40.699092749754236)"
1759,2023-10-11,14:08:00,2023-10-11 14:08:00,Zikim,40.795073789403205,-73.97812362356814,40.63969256911013,-74.09734425021958,זיקים,311,זיקים,חוף אשקלון,
1760,2023-10-11,14:08:00,2023-10-11 14:08:00,Be'er Ganim,40.888223689403205,-73.88815762356815,40.63969256911013,-74.09734425021958,באר גנים,851,באר גנים,חוף אשקלון,
1761,2023-10-11,14:08:00,2023-10-11 14:08:00,Ashkelon - North,40.833088599431804,-73.92532937701941,40.63969256911013,-74.09734425021958,אשקלון - צפון,1278,אשקלון,אשקלון,"(-73.92532937701941, 40.833088599431804)"
1762,2023-10-11,14:08:00,2023-10-11 14:08:00,Ashkelon Northern Industrial Zone,40.80731234191294,-73.9001062629302,40.63969256911013,-74.09734425021958,אזור תעשייה צפוני אשקלון,1027,אזור תעשייה צפוני אשקלון,אשקלון,"(-73.9001062629302, 40.80731234191294)"
1763,2023-10-11,15:00:00,2023-10-11 15:00:00,Netiv HaAssara,40.7602767894032,-73.95976962356815,40.716654499213746,-74.0404988590405,נתיב העשרה,1227,נתיב העשרה,,
1764,2023-10-11,15:00:00,2023-10-11 15:00:00,Yad Mordechai,40.7779850094032,-73.94168265356815,40.716654499213746,-74.0404988590405,יד מרדכי,679,יד מרדכי,חוף אשקלון,
1765,2023-10-11,15:01:00,2023-10-11 15:01:00,Ashkelon Southern Industrial Zone,40.71253218756964,-74.02237037689724,40.70004490744224,-74.06723272189589,אזור תעשייה הדרומי אשקלון,1337,אזור תעשייה הדרומי אשקלון,אשקלון,"(-74.02237037689724, 40.71253218756964)"
1766,2023-10-11,15:01:00,2023-10-11 15:01:00,Mavki'im,40.8103877894032,-73.92166062356816,40.70004490744224,-74.06723272189589,מבקיעים,456,מבקיעים,חוף אשקלון,
1767,2023-10-11,15:02:00,2023-10-11 15:02:00,Kerem Shalom,40.416150789403204,-74.21453262356815,40.642566277865214,-74.09143333565007,כרם שלום,174,כרם שלום,אשכול,
1768,2023-10-11,15:26:00,2023-10-11 15:26:00,Bnei Atarot,41.2093397894032,-73.58894562356815,40.52719627137107,-74.20291426240931,בני עטרות,804,בני עטרות,חבל מודיעין,
